actor_id,first_name,last_name,last_update
200,THORA,TEMPLE,"2006-02-15 04:34:33"
199,JULIA,FAWCETT,"2006-02-15 04:34:33"
198,MARY,KEITEL,"2006-02-15 04:34:33"
197,REESE,WEST,"2006-02-15 04:34:33"
196,BELA,WALKEN,"2006-02-15 04:34:33"
195,JAYNE,SILVERSTONE,"2006-02-15 04:34:33"
194,MERYL,ALLEN,"2006-02-15 04:34:33"
193,BURT,TEMPLE,"2006-02-15 04:34:33"
192,JOHN,SUVARI,"2006-02-15 04:34:33"
191,GREGORY,GOODING,"2006-02-15 04:34:33"
190,AUDREY,BAILEY,"2006-02-15 04:34:33"
189,CUBA,BIRCH,"2006-02-15 04:34:33"
188,ROCK,DUKAKIS,"2006-02-15 04:34:33"
187,RENEE,BALL,"2006-02-15 04:34:33"
186,JULIA,ZELLWEGER,"2006-02-15 04:34:33"
185,MICHAEL,BOLGER,"2006-02-15 04:34:33"
184,HUMPHREY,GARLAND,"2006-02-15 04:34:33"
183,RUSSELL,CLOSE,"2006-02-15 04:34:33"
182,DEBBIE,AKROYD,"2006-02-15 04:34:33"
181,MATTHEW,CARREY,"2006-02-15 04:34:33"
180,JEFF,SILVERSTONE,"2006-02-15 04:34:33"
179,ED,GUINESS,"2006-02-15 04:34:33"
178,LISA,MONROE,"2006-02-15 04:34:33"
177,GENE,MCKELLEN,"2006-02-15 04:34:33"
176,JON,CHASE,"2006-02-15 04:34:33"
175,WILLIAM,HACKMAN,"2006-02-15 04:34:33"
174,MICHAEL,BENING,"2006-02-15 04:34:33"
173,ALAN,DREYFUSS,"2006-02-15 04:34:33"
172,GROUCHO,WILLIAMS,"2006-02-15 04:34:33"
171,OLYMPIA,PFEIFFER,"2006-02-15 04:34:33"
170,MENA,HOPPER,"2006-02-15 04:34:33"
169,KENNETH,HOFFMAN,"2006-02-15 04:34:33"
168,WILL,WILSON,"2006-02-15 04:34:33"
167,LAURENCE,BULLOCK,"2006-02-15 04:34:33"
166,NICK,DEGENERES,"2006-02-15 04:34:33"
165,AL,GARLAND,"2006-02-15 04:34:33"
164,HUMPHREY,WILLIS,"2006-02-15 04:34:33"
163,CHRISTOPHER,WEST,"2006-02-15 04:34:33"
162,OPRAH,KILMER,"2006-02-15 04:34:33"
161,HARVEY,HOPE,"2006-02-15 04:34:33"
160,CHRIS,DEPP,"2006-02-15 04:34:33"
159,LAURA,BRODY,"2006-02-15 04:34:33"
158,VIVIEN,BASINGER,"2006-02-15 04:34:33"
157,GRETA,MALDEN,"2006-02-15 04:34:33"
156,FAY,WOOD,"2006-02-15 04:34:33"
155,IAN,TANDY,"2006-02-15 04:34:33"
154,MERYL,GIBSON,"2006-02-15 04:34:33"
153,MINNIE,KILMER,"2006-02-15 04:34:33"
152,BEN,HARRIS,"2006-02-15 04:34:33"
151,GEOFFREY,HESTON,"2006-02-15 04:34:33"
